Reporter,Element,Year,Item,Afghanistan,Albania,Argentina,Armenia,Australia,Austria,Azerbaijan,Bangladesh,Belgium,Belize,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Bulgaria,Burundi,Cambodia,Cameroon,Canada,Cayman Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Montenegro,Morocco,Mozambique,Myanmar,Netherlands,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,Unspecified,Uruguay,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Zambia,Zimbabwe,,,
Canada,Import Quantity,2009,Fruit Fresh Nes,,,3,,7,,,,1,2,,,207,,,,,0,,,124,"2,663.00",2,,236,,,424,,,,,,,,,117,6,16,,,,,5,,0,,1,,,12,4,5,,5,,29,,,177,0,2,,393,4,26,0,,,3,,,,6,,,,2,,70,0,,,,4,483,,94,0,,1,,152,,,,46,18,127,1,,,,861,,,,,4,0,,,,,,0,,,217,525,3,,,,,,"1,846.00",,2,,1,0,,,0,,"13,315.00",,,,,959,,,,,23211,0.013964628
Cape Verde,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,24,,,,,,,,,,,,0,,,,,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2.10573E-05
Chile,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.80492E-06
China,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,,,,,,49,,,,,,,,,,,,,10,,,,,,,,,,"1,279.00",,,7,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,"162,340.00",,,,,,,,,,"2,246.00",,,,,"350,319.00",,,,,516947,0.311015156
"China, Hong Kong SAR",Import Quantity,2009,Fruit Fresh Nes,,,,,600,,,,,,,,,,,,,,,,"2,281.00","25,238.00",,0,41,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,7,84,,,210,185,,"1,459.00",0,,,,,,,,,,,,"1,265.00",,,,,,,,,,,16,,75,,,,,,,4,,,,"1,266.00",,,,,,,,,,,,,,,402,,,,,,,,"172,342.00",,,,,,,,,,825,,,,,"33,847.00",,,,,240234,0.144533995
"China, Macao SAR",Import Quantity,2009,Fruit Fresh Nes,,,,,0,,,,,,,,,,,,,,,,0,578,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,72,,,,,655,0.000394073
Colombia,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,278,,,,,,,,,,,,,,,,,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112,0.000669022
Congo,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,9.62621E-06
Costa Rica,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,1,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,,,,,0,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,4,,,,,,,,,,1067,0.000641948
Côte d'Ivoire,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,9,5.41475E-06
